permno,adate,qdate,public_date,GProf,TICKER
27828,2013-10-31,2014-04-30,2014-06-30,0.282,HPQ
27828,2013-10-31,2014-04-30,2014-07-31,0.282,HPQ
27828,2013-10-31,2014-04-30,2014-08-31,0.282,HPQ
27828,2013-10-31,2014-07-31,2014-09-30,0.286,HPQ
27828,2013-10-31,2014-07-31,2014-10-31,0.286,HPQ
27828,2013-10-31,2014-07-31,2014-11-30,0.286,HPQ
27828,2014-10-31,2014-10-31,2014-12-31,0.293,HPQ
27828,2014-10-31,2014-10-31,2015-01-31,0.293,HPQ
27828,2014-10-31,2014-10-31,2015-02-28,0.293,HPQ
27828,2014-10-31,2015-01-31,2015-03-31,0.259,HPQ
27828,2014-10-31,2015-01-31,2015-04-30,0.259,HPQ
27828,2014-10-31,2015-01-31,2015-05-31,0.259,HPQ
27828,2014-10-31,2015-04-30,2015-06-30,0.222,HPQ
27828,2014-10-31,2015-04-30,2015-07-31,0.222,HPQ
27828,2014-10-31,2015-04-30,2015-08-31,0.222,HPQ
27828,2014-10-31,2015-07-31,2015-09-30,0.179,HPQ
27828,2014-10-31,2015-07-31,2015-10-31,0.179,HPQ
27828,2014-10-31,2015-07-31,2015-11-30,0.179,HPQ
27828,2015-10-31,2015-10-31,2015-12-31,0.263,HPQ
27828,2015-10-31,2015-10-31,2016-01-31,0.263,HPQ
27828,2015-10-31,2015-10-31,2016-02-29,0.263,HPQ
27828,2015-10-31,2016-01-31,2016-03-31,0.147,HPQ
27828,2015-10-31,2016-01-31,2016-04-30,0.147,HPQ
27828,2015-10-31,2016-01-31,2016-05-31,0.147,HPQ
27828,2015-10-31,2016-04-30,2016-06-30,0.171,HPQ
27828,2015-10-31,2016-04-30,2016-07-31,0.171,HPQ
27828,2015-10-31,2016-04-30,2016-08-31,0.171,HPQ
27828,2015-10-31,2016-07-31,2016-09-30,0.222,HPQ
27828,2015-10-31,2016-07-31,2016-10-31,0.222,HPQ
27828,2015-10-31,2016-07-31,2016-11-30,0.222,HPQ
27828,2016-10-31,2016-10-31,2016-12-31,0.321,HPQ
27828,2016-10-31,2016-10-31,2017-01-31,0.321,HPQ
27828,2016-10-31,2016-10-31,2017-02-28,0.321,HPQ
27828,2016-10-31,2017-01-31,2017-03-31,0.338,HPQ
27828,2016-10-31,2017-01-31,2017-04-30,0.338,HPQ
27828,2016-10-31,2017-01-31,2017-05-31,0.338,HPQ
27828,2016-10-31,2017-04-30,2017-06-30,0.334,HPQ
27828,2016-10-31,2017-04-30,2017-07-31,0.334,HPQ
27828,2016-10-31,2017-04-30,2017-08-31,0.334,HPQ
27828,2016-10-31,2017-07-31,2017-09-30,0.329,HPQ
27828,2016-10-31,2017-07-31,2017-10-31,0.329,HPQ
27828,2016-10-31,2017-07-31,2017-11-30,0.329,HPQ
