PERMNO,date,TICKER,PRC,VOL
61399,2022-02-08,LOW,231.75999,2572444
61399,2022-02-09,LOW,233.66000,2115334
61399,2022-02-10,LOW,227.39999,3053766
61399,2022-02-11,LOW,225.91000,2192806
61399,2022-02-14,LOW,225.95000,2025703
61399,2022-02-15,LOW,228.10001,1846100
61399,2022-02-16,LOW,227.00999,2461400
61399,2022-02-17,LOW,223.78999,2482353
61399,2022-02-18,LOW,222.69000,4241661
61399,2022-02-22,LOW,214.59000,7641105
61399,2022-02-23,LOW,215.09000,8936864
61399,2022-02-24,LOW,213.41000,5749345
61399,2022-02-25,LOW,219.17999,4613281
61399,2022-02-28,LOW,221.06000,5440555
61399,2022-03-01,LOW,221.50000,3953236
61399,2022-03-02,LOW,228.66000,4513727
61399,2022-03-03,LOW,226.28000,3180721
61399,2022-03-04,LOW,224.07001,3145816
61399,2022-03-07,LOW,222.25999,4022744
61399,2022-03-08,LOW,223.25999,3726146
61399,2022-03-09,LOW,225.88000,3428704
61399,2022-03-10,LOW,224.17000,3318890
61399,2022-03-11,LOW,222.21001,2616309
61399,2022-03-14,LOW,226.50999,3607706
61399,2022-03-15,LOW,231.07001,3413674
61399,2022-03-16,LOW,231.33000,3497382
61399,2022-03-17,LOW,234.38000,3323855
61399,2022-03-18,LOW,235.67000,9149965
61399,2022-03-21,LOW,227.60001,4349172
61399,2022-03-22,LOW,228.47000,3248750
61399,2022-03-23,LOW,220.92000,3728128
61399,2022-03-24,LOW,219.17000,3399162
61399,2022-03-25,LOW,212.92000,6832850
61399,2022-03-28,LOW,213.78000,6579600
61399,2022-03-29,LOW,219.57001,4993689
61399,2022-03-30,LOW,209.49001,7090934
61399,2022-03-31,LOW,202.19000,7318469
61399,2022-04-01,LOW,202.39999,4827182
61399,2022-04-04,LOW,204.12000,5427547
61399,2022-04-05,LOW,204.87000,4707282
61399,2022-04-06,LOW,200.64999,6356121
61399,2022-04-07,LOW,202.64000,4411564
61399,2022-04-08,LOW,206.66000,5065517
61399,2022-04-11,LOW,204.59000,3576161
